Keyword,Page URL,LOCKED,Status,Action,Clicks,Position,Match Score,AI Score,Is Winner,Source
bathroom art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/wall-art-for-high-ceilings-7-creative-ideas,,DONE,LINK,288,6.4,67%,76.9,NO,
bathroom art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/masculine-home-decor-stylish-ideas-to-elevate-any-modern-space,,PENDING,LINK,145,7.2,67%,76.2,NO,
write for us home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,DELETED,1489,2.8,50%,72.2,YES,
write for us home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,DELETED,1362,4.3,50%,70.7,NO,
write for us home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,DELETED,728,5,50%,70,NO,
write for us home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,DELETED,538,5.8,50%,69.2,NO,
write for us home decor,https://aboutwallart.com/pages/write-for-us,,DONE,DELETED,496,11.1,50%,63.9,NO,
pictures for living room,https://aboutwallart.com/collections/framed-wall-pictures-for-living-room,,PENDING,KEEP,198,7.8,100%,92.2,YES,
pictures for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,PENDING,LINK,242,5.3,50%,69.7,NO,
pictures for living room,https://aboutwallart.com/products/floral-large-wall-prints-for-a-living-room-set-of-3-wall-art-prints,,DONE,LINK,64,9.1,75%,67.6,NO,
pictures for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,PENDING,LINK,225,8.4,50%,66.6,NO,
pictures for living room,https://aboutwallart.com/products/large-living-room-pictures-set-of-3-wall-art-prints,,DONE,LINK,47,6.6,75%,65,NO,
wall pictures for living room,https://aboutwallart.com/collections/framed-wall-pictures-for-living-room,,PENDING,KEEP,198,7.8,100%,92.2,YES,
wall pictures for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,PENDING,LINK,242,5.3,60%,74.7,NO,
wall pictures for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,PENDING,LINK,225,8.4,60%,71.6,NO,
wall pictures for living room,https://aboutwallart.com/products/floral-large-wall-prints-for-a-living-room-set-of-3-wall-art-prints,,DONE,REPURPOSE,64,9.1,80%,70.1,NO,
wall pictures for living room,https://aboutwallart.com/products/large-living-room-pictures-set-of-3-wall-art-prints,,DONE,REPURPOSE,47,6.6,80%,67.5,NO,
aboutwallart,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,DELETED,1489,2.8,100%,97.2,YES,
aboutwallart,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,DELETED,1362,4.3,100%,95.7,NO,
aboutwallart,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,DELETED,728,5,100%,95,NO,
aboutwallart,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,DELETED,538,5.8,100%,94.2,NO,
aboutwallart,https://aboutwallart.com/pages/write-for-us,,DONE,DELETED,496,11.1,100%,88.9,NO,
islamic wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,LINK,1489,2.8,67%,80.5,YES,
islamic wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LINK,1362,4.3,67%,79.1,NO,
islamic wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LINK,728,5,67%,78.3,NO,
islamic wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,67%,77.5,NO,
islamic wall art,https://aboutwallart.com/pages/write-for-us,,PENDING,REPURPOSE,496,11.1,67%,72.2,NO,
quirky kitchen wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,LINK,1489,2.8,50%,72.2,YES,
quirky kitchen wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LINK,1362,4.3,50%,70.7,NO,
quirky kitchen wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LINK,728,5,50%,70,NO,
quirky kitchen wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,50%,69.2,NO,
quirky kitchen wall art,https://aboutwallart.com/pages/write-for-us,,PENDING,REPURPOSE,496,11.1,50%,63.9,NO,
types of wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,LINK,1489,2.8,67%,80.5,YES,
types of wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LINK,1362,4.3,67%,79.1,NO,
types of wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LINK,728,5,67%,78.3,NO,
types of wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,67%,77.5,NO,
types of wall art,https://aboutwallart.com/pages/write-for-us,,PENDING,REPURPOSE,496,11.1,67%,72.2,NO,
interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/old-money-style-interiors-classic-design-trends,,DONE,LOCKED_TO_OTHER_KEYWORD,299,6.4,100%,93.6,YES,
interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/understanding-art-in-interior-design,LOCKED,DONE,TO_OPTIMIZE,34,10,100%,70.2,NO,
interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/my-guide-to-the-top-interior-decorating-trends-2026,,DONE,LINK,101,7.7,50%,67.3,NO,
interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/asian-home-decor-ideas-for-tranquil-nature-led-interiors,,PENDING,LINK,66,8.6,50%,56.2,NO,
interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/designing-a-kids-playroom-childrens-playroom-ideas,,PENDING,LINK,31,8.2,50%,46.1,NO,
waterproof art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,DONE,LOCKED_TO_OTHER_KEYWORD,242,5.3,75%,82.2,YES,
waterproof art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,DONE,LOCKED_TO_OTHER_KEYWORD,225,8.4,75%,79.1,NO,
waterproof art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/choosing-the-right-art-for-grey-walls,,DONE,REPURPOSE,213,5.7,50%,69.3,NO,
waterproof art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/wall-art-for-high-ceilings-7-creative-ideas,,DONE,REPURPOSE,288,6.4,50%,68.6,NO,
waterproof art for bathroom,https://aboutwallart.com/pages/write-for-us,,DONE,REPURPOSE,496,11.1,50%,63.9,NO,
wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,REPURPOSE,1489,2.8,100%,97.2,YES,
wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LOCKED_TO_OTHER_KEYWORD,1362,4.3,100%,95.7,NO,
wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LOCKED_TO_OTHER_KEYWORD,728,5,100%,95,NO,
wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,100%,94.2,NO,
wall art,https://aboutwallart.com/pages/write-for-us,,DONE,REPURPOSE,496,11.1,100%,88.9,NO,
old money interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/old-money-style-interiors-classic-design-trends,,DONE,LOCKED_TO_OTHER_KEYWORD,299,6.4,100%,93.6,YES,
old money interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/understanding-art-in-interior-design,,PENDING,LINK,34,10,50%,45.2,NO,
old money interior design,https://aboutwallart.com/pages/old-money-home-decor,LOCKED,DONE,TO_OPTIMIZE,26,7.6,50%,45.2,NO,
old money interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/kitchen-wall-art-expert-interior-design-tips-trends-2026,,DONE,LINK,15,5.9,50%,43.6,NO,
old money interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/how-to-use-color-psychology-in-interior-design,,PENDING,LINK,14,13,50%,36.2,NO,
classy bathroom wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,REPURPOSE,1489,2.8,50%,72.2,YES,
classy bathroom wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LINK,1362,4.3,50%,70.7,NO,
classy bathroom wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LINK,728,5,50%,70,NO,
classy bathroom wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,50%,69.2,NO,
classy bathroom wall art,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,50%,63.9,NO,
wall art decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,100%,97.2,YES,
wall art decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LOCKED_TO_OTHER_KEYWORD,1362,4.3,100%,95.7,NO,
wall art decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LOCKED_TO_OTHER_KEYWORD,728,5,100%,95,NO,
wall art decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,100%,94.2,NO,
wall art decor,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,67%,72.2,NO,
what colour goes with grey,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,LOCKED,DONE,TO_OPTIMIZE,728,5,100%,95,YES,
what colour goes with grey,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/how-to-decorate-with-greige-colours-the-blend-of-grey-beige,,DONE,LINK,21,8.8,60%,47.5,NO,
bathroom wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,REPURPOSE,1489,2.8,50%,72.2,YES,
bathroom wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LOCKED_TO_OTHER_KEYWORD,1362,4.3,50%,70.7,NO,
bathroom wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LOCKED_TO_OTHER_KEYWORD,728,5,50%,70,NO,
bathroom wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,50%,69.2,NO,
bathroom wall art ideas,https://aboutwallart.com/pages/write-for-us,,DONE,REPURPOSE,496,11.1,50%,63.9,NO,
islamic wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,DONE,LOCKED_TO_OTHER_KEYWORD,242,5.3,67%,78,YES,
islamic wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,DONE,LOCKED_TO_OTHER_KEYWORD,225,8.4,67%,74.9,NO,
islamic wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,50%,69.2,NO,
islamic wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/wall-art-for-high-ceilings-7-creative-ideas,,DONE,REPURPOSE,288,6.4,50%,68.6,NO,
islamic wall art for living room,https://aboutwallart.com/pages/write-for-us,,DONE,REPURPOSE,496,11.1,50%,63.9,NO,
old money home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/old-money-style-interiors-classic-design-trends,LOCKED,DONE,TO_OPTIMIZE,299,6.4,100%,93.6,YES,
old money home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,DONE,LINK,1489,2.8,50%,72.2,NO,
old money home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,DONE,LINK,1362,4.3,50%,70.7,NO,
old money home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,LINK,728,5,50%,70,NO,
old money home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LINK,538,5.8,50%,69.2,NO,
grey walls,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,KEEP,728,5,100%,95,YES,
grey walls,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/choosing-the-right-art-for-grey-walls,,PENDING,REPURPOSE,213,5.7,100%,94.3,NO,
grey walls,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,50%,70.7,NO,
grey walls,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/wall-decor-ideas-for-large-walls-to-transform-your-space,,PENDING,LINK,49,7.9,50%,51.8,NO,
grey walls,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/how-nature-inspired-art-can-transform-your-walls,,PENDING,LINK,30,9.8,50%,44.1,NO,
set of 3 wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,PENDING,KEEP,242,5.3,67%,78,YES,
set of 3 wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,PENDING,LINK,225,8.4,67%,74.9,NO,
set of 3 wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,50%,69.2,NO,
set of 3 wall art for living room,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/wall-art-for-high-ceilings-7-creative-ideas,,PENDING,LINK,288,6.4,50%,68.6,NO,
set of 3 wall art for living room,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,50%,63.9,NO,
small bathroom wall decor ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,PENDING,KEEP,242,5.3,100%,94.7,YES,
small bathroom wall decor ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/decorating-above-toilet-stylish-ideas-to-elevate-your-bathroom,,PENDING,REPURPOSE,139,6.5,80%,83.5,NO,
small bathroom wall decor ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,DONE,LOCKED_TO_OTHER_KEYWORD,225,8.4,80%,81.6,NO,
small bathroom wall decor ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/wall-art-for-high-ceilings-7-creative-ideas,,PENDING,LINK,288,6.4,60%,73.6,NO,
small bathroom wall decor ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/masculine-home-decor-stylish-ideas-to-elevate-any-modern-space,,PENDING,LINK,145,7.2,60%,72.8,NO,
islamic wall art uk,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,67%,80.5,YES,
islamic wall art uk,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,67%,79.1,NO,
islamic wall art uk,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,LINK,728,5,67%,78.3,NO,
islamic wall art uk,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,67%,77.5,NO,
islamic wall art uk,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,67%,72.2,NO,
masculine decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,50%,72.2,YES,
masculine decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,50%,70.7,NO,
masculine decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,LINK,728,5,50%,70,NO,
masculine decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,50%,69.2,NO,
masculine decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/old-money-style-interiors-classic-design-trends,,PENDING,LINK,299,6.4,50%,68.6,NO,
moisture resistant art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/stylish-behind-toilet-decor-5-ideas-to-transform-your-small-bathroom,,PENDING,KEEP,242,5.3,60%,74.7,YES,
moisture resistant art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,60%,74.2,NO,
moisture resistant art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-art-ideas-to-transform-your-bathroom-into-an-oasis,,PENDING,LINK,225,8.4,60%,71.6,NO,
moisture resistant art for bathroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bathroom-wall-decor-ideas-for-spa-like-spaces,,PENDING,LINK,26,8.1,60%,49.7,NO,
moisture resistant art for bathroom,https://aboutwallart.com/collections/bathroom-decor-for-walls?page=2,,PENDING,LINK,26,10.8,60%,47,NO,
write for us + home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,50%,72.2,YES,
write for us + home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,50%,70.7,NO,
write for us + home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,LINK,728,5,50%,70,NO,
write for us + home decor,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,50%,69.2,NO,
write for us + home decor,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,50%,63.9,NO,
home decor ideas thehometrotters,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,50%,72.2,YES,
home decor ideas thehometrotters,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,50%,70.7,NO,
home decor ideas thehometrotters,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,LINK,728,5,50%,70,NO,
home decor ideas thehometrotters,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,50%,69.2,NO,
home decor ideas thehometrotters,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/old-money-style-interiors-classic-design-trends,,PENDING,LINK,299,6.4,50%,68.6,NO,
kitchen wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,50%,72.2,YES,
kitchen wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,50%,70.7,NO,
kitchen wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,PENDING,LINK,728,5,50%,70,NO,
kitchen wall art ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,PENDING,LINK,538,5.8,50%,69.2,NO,
kitchen wall art ideas,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,50%,63.9,NO,
cherry blossom art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/cherry-blossom-art-japan-understanding-the-deep-symbolism,,PENDING,KEEP,114,6.4,100%,93.6,YES,
cherry blossom art,https://aboutwallart.com/products/japanese-cherry-blossom-tree-set-of-3-framed-wall-art,,PENDING,LINK,8,6.5,100%,65.9,NO,
cherry blossom art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/blossoming-trends-botanical-wall-art-for-bedroom,,PENDING,LINK,19,7.4,67%,51.6,NO,
bedroom prints set of 3,https://aboutwallart.com/products/bedroom-framed-prints-set-of-3-wall-art-prints,,PENDING,KEEP,45,6.5,100%,77,YES,
bedroom prints set of 3,https://aboutwallart.com/products/floral-large-wall-prints-for-a-living-room-set-of-3-wall-art-prints,,PENDING,LINK,64,9.1,67%,63.5,NO,
bedroom prints set of 3,https://aboutwallart.com/products/large-living-room-pictures-set-of-3-wall-art-prints,,PENDING,LINK,47,6.6,67%,60.8,NO,
bedroom prints set of 3,https://aboutwallart.com/products/wall-art-neutral-set-of-3-framed-wall-art-prints,,PENDING,LINK,29,7.6,67%,54.4,NO,
bedroom prints set of 3,https://aboutwallart.com/products/wall-art-for-large-living-room-wall-set-of-3-floral-wall-art-prints,,PENDING,LINK,30,8.2,67%,54.1,NO,
what is wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-is-the-3-5-7-rule-in-decorating,,PENDING,KEEP,1489,2.8,100%,97.2,YES,
what is wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/what-colour-goes-with-grey-walls-essential-tips,,DONE,LOCKED_TO_OTHER_KEYWORD,728,5,100%,95,NO,
what is wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/moisture-resistant-restroom-wall-art-what-actually-works,,DONE,LOCKED_TO_OTHER_KEYWORD,538,5.8,100%,94.2,NO,
what is wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/do-beige-and-grey-go-together-heres-how-to-make-it-work,,PENDING,LINK,1362,4.3,67%,79.1,NO,
what is wall art,https://aboutwallart.com/pages/write-for-us,,PENDING,LINK,496,11.1,67%,72.2,NO,
above fireplace art,https://aboutwallart.com/collections/above-fireplaces,,PENDING,KEEP,164,7.3,100%,92.7,YES,
above fireplace art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/decorating-above-toilet-stylish-ideas-to-elevate-your-bathroom,,PENDING,LINK,139,6.5,67%,76.8,NO,
above fireplace art,https://aboutwallart.com/products/3-pictures-above-bed-set-of-3-framed-wall-art,,PENDING,LINK,48,4.7,67%,63,NO,
above fireplace art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/discover-perfect-above-the-bed-decor-ideas,,PENDING,LINK,15,9.7,67%,48.1,NO,
